sitting,question_no,topic,cbp_official_answer,our_explanation
April 2025,3,Broker Compliance,B,"The correct answer is B because 19 CFR 141.39(b) explicitly states that ""When a new firm is formed by a change in membership, no power of attorney filed by the antecedent firm shall thereafter be recognized for any Customs purpose."" Since Jack Smith's death caused the original partnership JJF to dissolve and form a new entity, Smith & Smith, the old POA is no longer valid under this regulation. Therefore, ABC must obtain a newly executed POA from the new partnership to proceed with customs clearance."
April 2025,5,Broker Compliance,D,"Under 19 CFR 111.11(a)(1), an applicant must be a ""citizen of the United States on the date of submission,"" but the regulation does not specify a minimum duration of citizenship. Therefore, being a citizen for only one year is not a ground for denial, making option D the correct answer. In contrast, option C is a valid ground for denial because 19 CFR 111.11(a)(2) requires the applicant to ""attain the age of 21 prior to the date of submission,"" meaning a 20-year-old applicant would be ineligible."
April 2025,6,Broker Compliance,A,"Option A is correct because the regulation explicitly states that ""customs business"" includes ""the preparation, and activities relating to the preparation, of documents in any format and the electronic transmission of documents and parts of documents intended to be filed with CBP in furtherance of any other customs business activity."" This definition directly matches the text in Option A, whereas Option D describes a ""freight forwarder"" and Option C describes a ""corporate compliance activity,"" both of which are defined separately in the provided text."
April 2025,7,Broker Compliance,C,"Option C is the correct answer because 19 CFR 111.28(b)(1) requires brokers to provide an employee's ""name, social security number, date and place of birth, date of hire, and current home address,"" but it does not require the submission of ""misdemeanor arrest records."" Since the regulation does not mandate reporting arrest records, this is the only item listed that a broker is not required to provide to CBP."
April 2025,8,Broker Compliance,D,"19 CFR 111.21(b) explicitly requires each broker to provide notification to the ""CBP Office of Information Technology Security Operations Center (CBP SOC)"" of any known breach of electronic or physical records. The regulation further specifies that this notification must be electronically provided within 72 hours of the discovery of the breach. Therefore, option D is the correct answer because it accurately identifies the specific CBP office mandated by the text."
April 2025,10,Broker Compliance,B,"Under 19 CFR 134.54(b), a written petition for relief from the payment of liquidated damages must be addressed to the Commissioner of Customs and filed with the Fines, Penalties, and Forfeitures Officer in accordance with part 172. This specific procedural requirement confirms that option B is the legally true statement, as it correctly identifies the addressee, the filing location, and the governing regulatory part for such petitions."
April 2025,11,Broker Compliance,D,"19 CFR 172.22(a) explicitly states that ""Any decision to remit or mitigate a penalty or cancel a claim for liquidated damages upon payment of a lesser amount is not a protestable decision."" Because the regulation defines these specific actions as non-protestable, option D is the correct answer, while options A, B, and C are incorrect because they falsely claim that such decisions can be protested."
April 2025,12,Broker Compliance,C,"Under 19 CFR 111.29(a), the regulation explicitly states that ""Payments received by a broker from a client after the due date must be transmitted to the Government within 5 working days from receipt by the broker."" Therefore, the broker is legally required to send the duty payment to the government within that five-day window, making option C the correct action. The broker cannot withhold the payment to collect their service fee, as the rule mandates transmission regardless of the broker's own compensation status."
April 2025,13,Broker Compliance,D,"The regulation defines ""Customs territory of the United States"" as including ""only the States, the District of Columbia, and Puerto Rico."" Because Puerto Rico is explicitly part of the Customs territory, a broker may hire a remote employee located there to perform customs business functions like determining classification. This makes option D legally true, whereas options A and C are incorrect because India and Europe are outside the defined Customs territory."
April 2025,14,Broker Compliance,A,"Under the provided regulations, a ""customs broker"" is defined as a person licensed under Part 111 to transact customs business, which explicitly includes the preparation and electronic transmission of documents intended to be filed with CBP. The term ""Permit"" is defined as a permit issued to a broker under § 111.19, establishing that a national permit is a required component for a broker to operate. Since the regulations define the necessary licensing and permitting structures for conducting customs business but do not list Automated Broker Interface (ABI) functionality as a legal prerequisite for the license or permit itself, option A is the correct answer for what is NOT legally required."
