code,agency,name,urgency,deadline_rule
"CP2000","IRS","Underreporter proposed changes","med","30 days from the notice date"
"CP2501","IRS","Underreporter inquiry","med","30 days from the notice date"
"CP3219A","IRS","Notice of Deficiency (90-day letter)","high","90 days from the notice date (150 days if the notice is addressed to you outside the United States)"
"CP14","IRS","Balance due","med","21 days from the notice date (10 days if the amount is $100,000 or more)"
"CP501","IRS","First reminder of balance due","med","Pay as soon as you can; the notice asks for payment immediately"
"CP503","IRS","Second reminder of balance due","high","Pay as soon as you can; the notice asks for payment immediately"
"CP504","IRS","Intent to levy / Notice of intent to seize property","high","30 days from the notice date"
"LT11","IRS","Final Notice of Intent to Levy (Letter 1058)","high","30 days from the notice date to request a Collection Due Process hearing"
"CP11","IRS","Math error, you owe","med","60 days from the notice date to request that the math-error change be undone"
"CP12","IRS","Math error, refund changed","low","60 days from the notice date to request that the math-error change be undone"
"CP22A","IRS","Data processing adjustment, balance due","med","21 days from the notice date"
"CP23","IRS","Estimated tax discrepancy","med","21 days from the notice date"
"CP49","IRS","Overpayment applied to other debts","low","No set protest clock on the face of a typical CP49; write as soon as you see an error"
"CP75","IRS","Audit of refundable credits (including EITC)","high","30 days from the notice date"
"Letter 5071C","IRS","Identity verification","high","30 days from the letter date"
"FTB 4600","California Franchise Tax Board","Notice of Proposed Assessment","high","60 days from the date of the Notice of Proposed Assessment to file a protest"
"DTF-948","New York State Department of Taxation and Finance","Statement of Proposed Audit Changes","high","30 days from the notice date (follow the date printed on DTF-948)"
"CP2566","IRS","Substitute for Return proposed amount","high","30 days from the notice date"
"CP2100","IRS","Missing or incorrect taxpayer identification numbers","med","15 business days from the notice date to send the required B-notice to payees, when the notice requires it"
"Letter 525","IRS","Examination report","high","30 days from the letter date"
