where,law,clause,what_it_asks_for,who_it_reaches,who_it_does_not_reach,from_when,source_url,exact_quote
the European Union,"EU AI Act, Regulation (EU) 2024/1689, Article 50(1)",Article 50(1),Tell the person they are dealing with an AI system,"Providers of AI systems that interact directly with people — the Commission names chatbots, AI agents and avatars — wherever they are established, if the system is placed on the EU market, put into service in the EU, or its output is used in the EU.","It does not reach a system that runs only in the background, only machine to machine, or with no direct contact with people; and it does not reach a case where it is obvious to a reasonably well-informed person that they are dealing with an AI.",2 August 2026,https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act,"Providers of AI systems that directly interact with people must design and develop those systems in such a way that the individuals concerned are informed that they are interacting with an AI system, unless this is obvious."
the European Union,"EU AI Act, Regulation (EU) 2024/1689, Article 50(1)","Article 50(1), timing",Show the notice from the start of the first interaction,"The same providers as Article 50(1). The Commission says the notice comes at the start of the first interaction, clearly and distinguishably, and in line with accessibility requirements.","It does not reach a system whose AI nature is obvious, and it is not satisfied by a line buried in terms of service or a privacy policy.",2 August 2026,https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act,People must be notified when they are interacting with an AI system from the start of the first interaction in a clear and distinguishable manner and in accordance with accessibility requirements.
the European Union,"EU AI Act, Regulation (EU) 2024/1689, Article 50(2)",Article 50(2),Mark generative AI output so a machine can detect it,"Providers of generative AI systems: the outputs carry effective, reliable, robust and interoperable machine-readable marks.",It does not reach a deployer who only uses somebody else's system — this paragraph is written at the provider — and a visible sentence on the page is not a machine-readable mark.,2 August 2026,https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act,"Providers must also ensure that the outputs of their generative AI systems are marked with effective, reliable, robust and interoperable machine-readable marks that enable the outputs to be detected as generated or manipulated by AI systems."
the European Union,"EU AI Act, Regulation (EU) 2024/1689, Article 50(2)","Article 50(2), grace period","The one grace period, and the date it ends","Systems placed on the market before 2 August 2026, and only for the marking and detection duty: those comply from 2 December 2026.","It does not extend to any other Article 50 duty, and content generated before 2 August 2026 does not have to be labelled retroactively.",2 December 2026,https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act,A limited grace period is envisaged only for AI systems placed on the market before 2 August 2026 and only as regards the marking and detection obligation for AI-generated content
the European Union,"EU AI Act, Regulation (EU) 2024/1689, Article 50(3)",Article 50(3),Tell people when emotion recognition or biometric categorisation is used,Deployers of emotion recognition or biometric categorisation systems: they inform the people exposed to the system.,"It does not reach a person using such a system in a personal, non-professional capacity, and it is a deployer duty, not a provider one.",2 August 2026,https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act,deployers must ensure that they inform people when they use emotion recognition or biometric categorisation systems
the European Union,"EU AI Act, Regulation (EU) 2024/1689, Article 50(4)",Article 50(4),"Label deepfakes, and AI text published on matters of public interest","Deployers who generate or manipulate image, audio or video that is a deepfake, and those who publish AI-generated or manipulated text on matters of public interest without human review or editorial control. The label reaches the person on first exposure at the latest.","The Commission says AI generation or manipulation that does not make content falsely appear authentic or truthful — background scenes, special effects, standard pre- and post-processing — is not likely to be caught; and published text that did go through human review or editorial control is outside the text half.",2 August 2026,https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act,clearly label deepfakes and AI-generated or manipulated text published on matters of public interest without human review or editorial control
California,California Business and Professions Code § 17941(a) (the BOT Act),§ 17941(a),Disclose that a bot is a bot when it sells or influences a vote,"A bot used to communicate or interact with a person in California online, with intent to mislead about its artificial identity, in order to incentivize a purchase or sale in a commercial transaction or to influence a vote in an election.",It does not reach a bot used for anything other than those two purposes — a support or FAQ bot that sells nothing and canvasses no vote is outside the section — and a person who discloses that it is a bot is not liable under it.,1 July 2019,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC§ionNum=17941.,"It shall be unlawful for any person to use a bot to communicate or interact with another person in California online, with the intent to mislead the other person about its artificial identity"
California,California Business and Professions Code § 17941(b) (the BOT Act),§ 17941(b),"The disclosure has to be clear, conspicuous and designed to inform","Any disclosure given to escape liability under § 17941(a): it is clear, conspicuous, and reasonably designed to inform the people the bot talks to that it is a bot.","It sets no wording and no placement, so it does not tell you where the line must sit; and it is only in play where § 17941(a) is.",1 July 2019,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC§ionNum=17941.,"The disclosure required by this section shall be clear, conspicuous, and reasonably designed to inform persons with whom the bot communicates or interacts that it is a bot."
California,California Business and Professions Code § 22602(a) (SB 243),§ 22602(a),Say the companion chatbot is artificially generated and not human,"Operators of companion chatbots, where a reasonable person interacting with it would be misled into believing they are interacting with a human.","It does not reach a chatbot no reasonable person would take for a human, and the chapter is about companion chatbots rather than ordinary customer-support bots.",1 January 2026,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC§ionNum=22602.,"If a reasonable person interacting with a companion chatbot would be misled to believe that the person is interacting with a human, an operator shall issue a clear and conspicuous notification indicating that the companion chatbot is artificially generated and not human."
California,California Business and Professions Code § 22602(c) (SB 243),§ 22602(c)(1)–(2),"For a user the operator knows is a minor: say it is AI, and repeat every three hours","Operators of companion chatbots, for a user the operator knows is a minor: disclose the interaction is with artificial intelligence, and by default give a break reminder at least every three hours.","It is written for users the operator KNOWS are minors, so it does not reach an adult user; the three-hour cadence is a default, not an absolute.",1 January 2026,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC§ionNum=22602.,Disclose to the user that the user is interacting with artificial intelligence.
