Serial,Mark,Filed,Status,Class,Owner,Last event,Event date
99000002,ORION GRID,6 Aug 2026,Non-final office action mailed,009 — Downloadable and recorded computer software,ORION TECHNOLOGIES INC,Non-Final Action E-Mailed,4 Sep 2026
99000003,NOVA TRAIL,6 Aug 2026,Final refusal mailed,009 — Downloadable and recorded computer software,NOVA BRANDS CORP,Final Refusal E-Mailed,3 Sep 2026
99000004,PIONEER FOUNDRY,6 Aug 2026,Published for opposition,009 — Downloadable and recorded computer software,PIONEER LABS LLC,Published For Opposition,2 Sep 2026
99000005,BRAVO RIDGE,6 Aug 2026,Non-final office action mailed,009 — Downloadable and recorded computer software,BRAVO GROUP LLC,Non-Final Action E-Mailed,1 Sep 2026
99000007,FALCON HARVEST,15 Jan 2026,Published for opposition,"025 — Clothing, footwear and headwear",FALCON PARTNERS LP,Published For Opposition,30 Aug 2026
99000008,GRANITE CRAFT,15 Jan 2026,Non-final office action mailed,"025 — Clothing, footwear and headwear",GRANITE SYSTEMS INC,Non-Final Action E-Mailed,29 Aug 2026
99000009,HELIOS CIRCUIT,15 Jan 2026,Final refusal mailed,"025 — Clothing, footwear and headwear",HELIOS VENTURES LLC,Final Refusal E-Mailed,28 Aug 2026
99000010,SUMMIT SIGNAL,15 Jan 2026,Published for opposition,"025 — Clothing, footwear and headwear",SUMMIT FOODS CO,Published For Opposition,27 Aug 2026
99000011,HARBOR MOTION,15 Jan 2026,Non-final office action mailed,"025 — Clothing, footwear and headwear",HARBOR OUTDOORS LLC,Non-Final Action E-Mailed,26 Aug 2026
99000013,SABLE MARKET,29 Jul 2026,Published for opposition,035 — Advertising and business management services,SABLE HOLDINGS LLC,Published For Opposition,5 Sep 2026
99000014,BLUE LOOM,29 Jul 2026,Non-final office action mailed,035 — Advertising and business management services,BLUE TECHNOLOGIES INC,Non-Final Action E-Mailed,4 Sep 2026
99000015,VERTEX DEPOT,29 Jul 2026,Final refusal mailed,035 — Advertising and business management services,VERTEX BRANDS CORP,Final Refusal E-Mailed,3 Sep 2026
99000016,EMBER BLOOM,29 Jul 2026,Published for opposition,035 — Advertising and business management services,EMBER LABS LLC,Published For Opposition,2 Sep 2026
99000017,ZENITH CANOPY,29 Jul 2026,Non-final office action mailed,035 — Advertising and business management services,ZENITH GROUP LLC,Non-Final Action E-Mailed,1 Sep 2026
99000019,CEDAR PULSE,20 Dec 2025,Published for opposition,041 — Education and entertainment services,CEDAR PARTNERS LP,Published For Opposition,30 Aug 2026
99000020,QUARTZ BEACON,20 Dec 2025,Non-final office action mailed,041 — Education and entertainment services,QUARTZ SYSTEMS INC,Non-Final Action E-Mailed,29 Aug 2026
99000021,WILLOW PANTRY,20 Dec 2025,Final refusal mailed,041 — Education and entertainment services,WILLOW VENTURES LLC,Final Refusal E-Mailed,28 Aug 2026
99000022,VANTAGE ANCHOR,20 Dec 2025,Published for opposition,041 — Education and entertainment services,VANTAGE FOODS CO,Published For Opposition,27 Aug 2026
99000025,COBALT FIELDS,21 Jul 2026,Published for opposition,"030 — Coffee, tea, baked goods and confectionery",COBALT HOLDINGS LLC,Published For Opposition,5 Sep 2026
99000026,TERRA ORCHARD,21 Jul 2026,Non-final office action mailed,"030 — Coffee, tea, baked goods and confectionery",TERRA TECHNOLOGIES INC,Non-Final Action E-Mailed,4 Sep 2026
99000027,APEX HOLLOW,21 Jul 2026,Final refusal mailed,"030 — Coffee, tea, baked goods and confectionery",APEX BRANDS CORP,Final Refusal E-Mailed,3 Sep 2026
99000028,LUMEN SPARK,21 Jul 2026,Published for opposition,"030 — Coffee, tea, baked goods and confectionery",LUMEN LABS LLC,Published For Opposition,2 Sep 2026
99000029,ATLAS WORKS,21 Jul 2026,Non-final office action mailed,"030 — Coffee, tea, baked goods and confectionery",ATLAS GROUP LLC,Non-Final Action E-Mailed,1 Sep 2026
99000031,NORTH TRAIL,24 Nov 2025,Published for opposition,032 — Beers and non-alcoholic beverages,NORTH PARTNERS LP,Published For Opposition,30 Aug 2026
99000032,ORION FOUNDRY,24 Nov 2025,Non-final office action mailed,032 — Beers and non-alcoholic beverages,ORION SYSTEMS INC,Non-Final Action E-Mailed,29 Aug 2026
