vendor,page,said_before,says_now,what_moved,first_read,second_read,url
DeepL,privacy policy,"Recordings of the calls, including transcriptions of these, are used for internal training and coaching as well as for documentation purposes.","Recordings of the calls and meetings, including transcriptions of these, are used for internal training and coaching as well as for documentation purposes.",rewritten in place,2026-09-03,2026-09-04,https://www.deepl.com/en/privacy
Suno,terms of service,"By using the Service or otherwise transmitting Submissions to us, you grant to Suno and our affiliates, successors, assigns, and designees a worldwide, non-exclusive, fully paid-up, sublicensable (directly and indirectly through multiple tiers), assignable, royalty-free, perpetual, irrevocable right and license to use, reproduce, store, modify, distribute, create derivative works based on, perform, display, communicate, transmit and otherwise make available any and all Content (in whole or in part) and any rights you may have in your Voice Model, in each case, in any media now known or hereafter developed, in connection with the provision, use, monetization, promotion, marketing, and improvement of our products and services, including the Service and the artificial intelligence and machine learning models related to the Service.","By using the Service or otherwise transmitting Submissions to us, you are directing Suno to store those Submissions, and grant to Suno and our affiliates, successors, assigns, and designees a worldwide, non-exclusive, fully paid-up, sublicensable (directly and indirectly through multiple tiers), assignable, royalty-free, perpetual, irrevocable right and license to use, reproduce, store, modify, distribute, create derivative works based on, perform, display, communicate, transmit and otherwise make available any and all Content (in whole or in part), in each case, in any media now known or hereafter developed, in connection with the provision, use, monetization, promotion, marketing, and improvement of our products and services, including the Service and the artificial intelligence and machine learning models related to the Service.",rewritten in place,2026-09-02,2026-09-03,https://suno.com/terms
Mistral,terms of service,"Additional Product Terms Partner-served deployment terms Additional Terms for Use of Mistral AI Products on Customer Infrastructure Data Processing Addendum Connectors terms Privacy Policy Usage Policy Cookie Policy License Notice Applicant Privacy Policy At Mistral AI, transparency, trust, and clarity are at the core of our relationship with you, whether you're a customer, an end-user, a business partner, a researcher, or simply exploring our products.","At Mistral AI, transparency, trust, and clarity are at the core of our relationship with you, whether you're a customer, an end-user, a business partner, a researcher, or simply exploring our products.",rewritten in place,2026-09-02,2026-09-03,https://mistral.ai/terms
Atlassian,terms of service,"Such entitlements may be based on: (a) number of licenses, copies or instances, (b) entity, division, business unit, website, or field of use, (c) number and type of Users, (d) number of queries, requests or other usage-based subscription units, or (e) other restrictions or billable units.","Such entitlements may be based on: (a) number of licenses, copies or instances, (b) entity, division, business unit, website, or field of use, (c) number and type of Users, (d) number of queries, requests or other usage-based units, or (e) other restrictions or billable units.",rewritten in place,2026-09-01,2026-09-02,https://www.atlassian.com/legal/cloud-terms-of-service
Amazon Web Services,terms of service,"Per Section 1.24 of the Service Terms, Amazon Bedrock abuse detection mechanisms apply to your use of Kiro.","Per Section 1.24 of the Service Terms, Amazon Bedrock abuse detection mechanisms apply to your use of Kiro, including our retention and potential human review of inputs and outputs when you select certain models.",rewritten in place,2026-09-01,2026-09-02,https://aws.amazon.com/service-terms/
Twilio,terms of service,"Any arbitration proceedings will take place in the English language in (a) San Francisco, California, if you are domiciled or registered in any country outside of the (i) European Economic Area and its regions and territories, the United Kingdom, Switzerland, Andorra, Vatican City, Monaco, Turkey, Albania, and Nigeria; (ii) Asia-Pacific region; (b) London, England, if you are domiciled or registered in any country within the European Economic Area or its regions or territories, the United Kingdom, Switzerland, Andorra, Vatican City, Monaco, Turkey, Albania, or Nigeria; or (c) Singapore, if you are domiciled or registered in any country within the Asia-Pacific region.","Any arbitration proceedings will take place in the English language in (a) San Francisco, California, if you are domiciled or registered in any country outside of the (i) European Economic Area and its regions and territories, the United Kingdom, Switzerland, Andorra, Vatican City, Monaco, Turkey, Albania, and Nigeria and (ii) Asia-Pacific region; (b) London, England, if you are domiciled or registered in any country within the European Economic Area or its regions or territories, the United Kingdom, Switzerland, Andorra, Vatican City, Monaco, Turkey, Albania, or Nigeria; or (c) Singapore, if you are domiciled or registered in any country within the Asia-Pacific region.",rewritten in place,2026-08-30,2026-09-01,https://www.twilio.com/en-us/legal/tos
Stability,terms of service,,"By accessing or using our Services, you agree to these Terms of Service (“Terms”), which govern your access to and use of Brand Studio, Stable Audio, Stable Assistant, Stable Artisan, Stability’s Application Programming Interface (“API”) and our websites, and any associated software applications, and any underlying technologies, along with any future apps or services that link to these Terms (together, our “Services”).",arrived on the page,2026-08-30,2026-09-01,https://stability.ai/terms-of-use
OpenRouter,terms of service,"By agreeing to these Terms, you represent and warrant to us that: (a) you are at least 13 years of age; (b) you have not previously been suspended or removed from the Service; and (c) your registration and your use of the Service is in compliance with all applicable laws and regulations.","By agreeing to these Terms, you represent and warrant to us that: (a) you are at least 18 years of age; (b) you have not previously been suspended or removed from the Service; and (c) your registration and your use of the Service is in compliance with all applicable laws and regulations.",rewritten in place,2026-08-30,2026-09-01,https://openrouter.ai/terms
OpenAI,model retirement page,,"2026-08-26: Transcription models On August 26, 2026, we notified developers using whisper-1, gpt-4o-transcribe, gpt-4o-mini-transcribe, and gpt-4o-transcribe-diarize of their deprecation and removal from the API on February 26, 2027.",arrived on the page,2026-08-30,2026-09-01,https://platform.openai.com/docs/deprecations
Cursor,enterprise terms,"Our app makes requests to Cursor backend domains to deliver API, indexing, update, and marketplace functionality.","Our app makes requests to Cursor backend domains to deliver API, update, and marketplace functionality.",rewritten in place,2026-08-28,2026-08-29,https://www.cursor.com/security
Databricks,terms of service,"These Terms expressly do not govern your access to or use of the Databricks Platform Services (known as Databricks and Databricks Community Edition, each located at *.cloud.databricks.com, or the related website at help.databricks.com and platform support services, together the “Platform Services”), which are subject to the Databricks Terms of Service (or with respect to the Community Edition, the Community Edition Terms of Service) or other written agreement in place between Databricks, Inc.","These Terms expressly do not govern your access to or use of the Databricks Data + AI Platform Services (known as Databricks and Databricks Community Edition, each located at *.cloud.databricks.com, or the related website at help.databricks.com and platform support services, together the “Platform Services”), which are subject to the Databricks Terms of Service (or with respect to the Community Edition, the Community Edition Terms of Service) or other written agreement in place between Databricks, Inc.",rewritten in place,2026-08-27,2026-08-28,https://www.databricks.com/legal/terms-of-use
Servicenow,privacy policy,"To a potential buyer (and its agents and advisors) in connection with any proposed merger, acquisition, or any form of sale or transfer of some or all of our assets (including in the event of a reorganisation, dissolution or liquidation), in which case personal data held by us about you will be amongst the assets transferred to the buyer or acquirer.","To a potential buyer (and its agents and advisors) in connection with any proposed merger, acquisition, or any form of sale or transfer of some or all of our assets and/or receivables (including in the event of a reorganisation, dissolution or liquidation) in which case personal data held by us about you will be amongst the assets and/or receivables transferred to the buyer or acquirer.",rewritten in place,2026-08-25,2026-08-26,https://www.servicenow.com/privacy-statement.html
Cohere,terms of service,,The state of sovereign AI adoption in 2026 Cohere and the University of Waterloo launch partnership to strengthen Canada’s AI talent pipeline Introducing North Automations: Intelligent workflow orchestration,arrived on the page,2026-08-25,2026-08-26,https://cohere.com/terms-of-use
Salesforce,privacy policy,"If you believe that we have not been able to assist with your complaint or concern, and you are located in the EEA or the UK, you have the right to lodge a complaint with the competent supervisory authority.","If, however, you believe that we have not been able to assist with your complaint or concern, and you are located in the European Economic Area or the United Kingdom, you have the right to lodge a complaint with the competent supervisory authority.",rewritten in place,2026-08-24,2026-08-25,https://www.salesforce.com/company/legal/privacy/
IBM,privacy policy,"As a public cloud provider, IBM does not use personal information processed under a contract for the purposes of marketing and advertising without express consent.",,left the page,2026-08-24,2026-08-25,https://www.ibm.com/privacy
Canva,privacy policy,"If you have any questions about opting out of the collection of cookies and other tracking/recording tools, please read our Cookies Policy⁠(opens in a new tab or window) or you can contact us directly at privacy@canva.com.","If you have any questions about opting out of the collection of cookies and other tracking/recording tools, please read our Cookies Policy⁠(opens in a new tab or window) or you can contact us here⁠(opens in a new tab or window).",rewritten in place,2026-08-24,2026-08-25,https://www.canva.com/policies/privacy-policy/
Intercom,privacy policy,"contact enrichment and lead generation providers; and targeted online advertising providers We may collect the following personal data about our office visitors: Registration, contact and company information: first and last names; email addresses; phone numbers; company name; Payment information: credit card information; billing and mailing addresses; other payment-related information.","The sources of this third party personal data may include: contact enrichment and lead generation providers; and targeted online advertising providers We may collect the following personal data about our office visitors: Registration, contact and company information: first and last names; email addresses; phone numbers; company name; Payment information: credit card information; billing and mailing addresses; other payment-related information.",rewritten in place,2026-08-21,2026-08-22,https://www.intercom.com/legal/privacy
Anthropic,model retirement page,"Deprecated parameters remain in the SDK request types so existing code continues to type-check, but their behavior changes per model.",Most SDKs keep deprecated parameters in their request types so existing code continues to type-check.,rewritten in place,2026-08-21,2026-08-22,https://docs.claude.com/en/docs/about-claude/model-deprecations
Luma,privacy policy,,Text messaging originator opt-in data and consent will not be sold or shared with any third party; sharing with subcontractors that support delivery of the service (such as our SMS verification provider) is permitted solely to deliver the verification message.,arrived on the page,2026-08-20,2026-08-21,https://lumalabs.ai/legal/privacy-policy
Hugging Face,acceptable-use policy,"For our Users: For all communications regarding our Content Policy and how we deal with moderating Content at Hugging Face, please contact us at feedback@huggingface.co.","For our Users: For all communications regarding our Content Policy and how we deal with moderating Content at Hugging Face, please contact us at safety@huggingface.co.",rewritten in place,2026-08-20,2026-08-21,https://huggingface.co/content-guidelines
Amazon Web Services,terms of service,,"Governing Laws Governing Courts Amazon AWS Serviços Brasil Ltda The laws of Brazil The courts of the City of São Paulo, State of São Paulo Amazon Web Services Australia Pty Ltd (ABN: 63 605 345 891) The laws of New South Wales The courts of New South Wales Amazon Web Services Canada, Inc The laws of the Province of Ontario, Canada and federal laws of Canada applicable therein The provincial or federal courts located in Toronto, Ontario, Canada Amazon Web Services EMEA SARL The laws of the Grand Duchy of Luxembourg The courts in the district of Luxembourg City Amazon Web Services, Inc.",arrived on the page,2026-08-18,2026-08-19,https://aws.amazon.com/agreement/
Google DeepMind,data-use page,"Some Connected Apps such as Phone, Messages, WhatsApp, and Utilities are available on your Android mobile device, whether Keep Activity is on or off.","Some Connected Apps such as Phone, Messages, WhatsApp, and Device assistance are available on your Android mobile device, whether Keep Activity is on or off.",rewritten in place,2026-08-17,2026-08-18,https://support.google.com/gemini/answer/13594961
Cursor,terms of service,"By using the Service, you agree to these Terms.","By using the Service, you agree to these Terms including our Acceptable Use Policy.",rewritten in place,2026-08-13,2026-08-14,https://www.cursor.com/terms-of-service
Inflection,privacy policy,"Appeals If we deny your rights request, you may appeal our decision by contacting us.","Appeals and Complaints If we deny your rights request, you may appeal our decision by contacting us.",rewritten in place,2026-08-12,2026-08-13,https://inflection.ai/privacy-policy
NVIDIA,privacy policy,"You have the right to see the data we have collected, take it with you, make corrections, withdraw consent for future uses, opt out of sales and sharing, or erase your data all together at any time.","Control your personal data You have the right to see the data we have collected, take it with you, make corrections, withdraw consent for future uses, opt out of sales and sharing, or erase your data all together at any time.",rewritten in place,2026-08-11,2026-08-12,https://www.nvidia.com/en-us/about-nvidia/privacy-policy/
